,True Value,Predicted
70,14.597999999999999,14.417299165823815
42,17.1828,16.46303302921863
195,29.5308,26.643013438518683
179,18.414,17.7514075664292
207,16.2648,16.05476486832348
59,22.3632,20.610843899404088
266,18.403200000000002,17.818873837579297
87,4.6224,6.519835486697886
80,13.122,13.24795150222344
135,16.776,16.38448231405562
58,23.3244,21.378198835238784
139,7.1136,8.673726463166457
187,17.2224,16.80557380973018
191,20.016,19.040243626854494
240,9.2772,10.507887474480533
165,16.869600000000002,16.506848132349575
72,16.272,15.758095842188522
154,15.4908,15.396308405942797
233,5.3604,7.370065398971945
152,16.5996,16.28224867500998
252,22.05,20.721039723246896
33,18.6552,17.62635578375032
30,10.1844,10.860087443627924
68,21.7872,20.159948021255108
125,17.028000000000002,16.577584910570142
222,13.9572,14.226140772915658
118,6.0516000000000005,7.803061708484494
89,1.7496,4.2404458608880855
2,10.8108,11.222929875643336
250,17.9568,17.45081913764578
10,14.2848,14.003701844621006
51,23.2164,21.289422769998176
160,17.715600000000002,17.179729184621852
36,11.7576,12.121740332672967
122,13.4388,13.70777618085785
204,15.5376,15.471913662421795
25,9.5472,10.272787315016954
221,15.285600000000002,15.285672643315522
210,15.8544,15.731001050889702
13,15.296399999999998,14.816144005591532
8,17.766,16.783310054512235
23,9.7308,10.416346835808481
199,23.5872,21.896343457904354
95,14.418,14.369906006945353
120,6.5376,8.194822558693
136,14.1588,14.29367303892031
158,17.017200000000003,16.6189771875689
81,0.6624,3.310198010408372
162,15.325199999999999,15.270980029653732
133,19.1844,18.306404720544087
194,25.5276,23.445219666730058
77,24.055200000000003,21.97624978963622
117,5.8644,7.650680508562179
132,18.748800000000003,17.956398678267224
124,15.616800000000001,15.450357028593027
172,18.741600000000002,18.00704400334125
265,19.378800000000002,18.59612174682895
241,5.0364,7.122767133147397
15,16.3404,15.65165239149736
6,15.9876,15.361108467907847
212,19.3716,18.541098779815968
100,9.18,10.189607633057584
138,8.5968,9.85420906791643
273,16.146,16.02199304233649
144,20.988,19.764350462165496
148,20.7036,19.557304341043938
193,23.1048,21.507836816251835
232,10.3644,11.365376534883424
40,10.2636,10.934083315921933
217,21.5388,20.276557354648887
183,15.9336,15.77297622861189
102,0.738,3.47285874186751
178,16.6572,16.34660045598771
123,15.048,14.995905920690584
146,22.784399999999998,21.203436947340094
52,17.8272,16.985507239445198
21,2.3652,4.511134599237774
67,21.1464,19.645733773467843
229,11.7828,12.49461665768188
31,13.003200000000001,13.111262929476768
32,17.892,17.015707550678094
227,11.4624,12.23684944559682
223,13.5576,13.907133827266515
