,True Value,Predicted
70,14.597999999999999,14.212351136836023
42,17.1828,15.6393870192742
195,29.5308,23.34217878891567
179,18.414,16.99462754133886
207,16.2648,15.816133064702099
59,22.3632,18.61016720081167
266,18.403200000000002,17.151333068744435
87,4.6224,8.689123925778004
80,13.122,13.39094317105287
135,16.776,15.93697206147564
58,23.3244,19.155843978665665
139,7.1136,10.455678433912757
187,17.2224,16.33039016406294
191,20.016,17.925329328110536
240,9.2772,11.914073892751073
165,16.869600000000002,16.092830656679844
72,16.272,15.16957278280875
154,15.4908,15.289724633376057
233,5.3604,9.66826429275747
152,16.5996,15.918520962271947
252,22.05,19.203177259722224
33,18.6552,16.4519229040109
30,10.1844,11.630634925031778
68,21.7872,18.298309282973864
125,17.028000000000002,16.06398035967996
222,13.9572,14.532543146238375
118,6.0516000000000005,9.803061360777988
89,1.7496,7.08722240087222
2,10.8108,11.69453597001705
250,17.9568,16.872924021435274
10,14.2848,13.684173712751113
51,23.2164,19.08543720462893
160,17.715600000000002,16.566662598378674
36,11.7576,12.536745996046081
122,13.4388,14.01684322011767
204,15.5376,15.397888967316483
25,9.5472,11.101860874049564
221,15.285600000000002,15.285585623968705
210,15.8544,15.589551791083828
13,15.296399999999998,14.265879004248706
8,17.766,15.66054456274706
23,9.7308,11.200797276067423
199,23.5872,19.96597942953797
95,14.418,14.314121151926397
120,6.5376,10.089183317208404
136,14.1588,14.44969405609478
158,17.017200000000003,16.164807058630664
81,0.6624,6.336538945829881
162,15.325199999999999,15.209660048172454
133,19.1844,17.3033535326555
194,25.5276,21.064800353704587
77,24.055200000000003,19.60127602585228
117,5.8644,9.691952371212759
132,18.748800000000003,17.052851466206548
124,15.616800000000001,15.26012195578636
172,18.741600000000002,17.168121820749242
265,19.378800000000002,17.703398668468235
241,5.0364,9.50725300829154
15,16.3404,14.863352038589744
6,15.9876,14.646019952476207
212,19.3716,17.592212718220125
100,9.18,11.345087607577685
138,8.5968,11.292869901141277
273,16.146,15.879214297697542
144,20.988,18.3675488234396
148,20.7036,18.24567012658808
193,23.1048,19.684138309932244
232,10.3644,12.51017556403488
40,10.2636,11.700338426611228
217,21.5388,18.833693876240783
183,15.9336,15.590632169999397
102,0.738,6.600298743383206
178,16.6572,15.99314187407217
123,15.048,14.935258444474995
146,22.784399999999998,19.396713521832545
52,17.8272,16.02250047567686
21,2.3652,6.964402952546587
67,21.1464,17.931551034678208
229,11.7828,13.308920125177604
31,13.003200000000001,13.235361633715145
32,17.892,16.015852186869253
227,11.4624,13.12277976782327
223,13.5576,14.306730011811844
