,True Value,Predicted
70,14.597999999999999,48.75
42,17.1828,28.75
195,29.5308,14.25
179,18.414,13.0
207,16.2648,9.0
59,22.3632,18.75
266,18.403200000000002,19.25
87,4.6224,20.5
80,13.122,2.5
135,16.776,5.0
58,23.3244,19.0
139,7.1136,19.0
187,17.2224,5.75
191,20.016,11.25
240,9.2772,22.0
165,16.869600000000002,12.5
72,16.272,30.25
154,15.4908,11.0
233,5.3604,12.0
152,16.5996,11.5
252,22.05,20.5
33,18.6552,21.0
30,10.1844,12.0
68,21.7872,14.75
125,17.028000000000002,2.75
222,13.9572,26.5
118,6.0516000000000005,6.0
89,1.7496,11.0
2,10.8108,15.75
250,17.9568,13.0
10,14.2848,1.0
51,23.2164,9.5
160,17.715600000000002,9.0
36,11.7576,15.25
122,13.4388,-6.0
204,15.5376,13.75
25,9.5472,14.75
221,15.285600000000002,17.75
210,15.8544,23.0
13,15.296399999999998,19.75
8,17.766,2.25
23,9.7308,17.0
199,23.5872,13.5
95,14.418,10.5
120,6.5376,6.75
136,14.1588,8.5
158,17.017200000000003,8.5
81,0.6624,19.25
162,15.325199999999999,-5.75
133,19.1844,6.0
194,25.5276,17.75
77,24.055200000000003,20.75
117,5.8644,-1.0
132,18.748800000000003,7.75
124,15.616800000000001,5.25
172,18.741600000000002,13.0
265,19.378800000000002,26.25
241,5.0364,26.5
15,16.3404,0.0
6,15.9876,7.25
212,19.3716,22.25
100,9.18,38.25
138,8.5968,21.0
273,16.146,12.5
144,20.988,8.0
148,20.7036,-16.5
193,23.1048,16.75
232,10.3644,14.5
40,10.2636,44.5
217,21.5388,22.25
183,15.9336,6.25
102,0.738,24.0
178,16.6572,14.5
123,15.048,1.75
146,22.784399999999998,13.75
52,17.8272,21.25
21,2.3652,17.75
67,21.1464,94.25
229,11.7828,18.0
31,13.003200000000001,36.25
32,17.892,15.25
227,11.4624,21.0
223,13.5576,18.0
