,True Value,Predicted
70,14.597999999999999,14.34044772093466
42,17.1828,16.15417597015246
195,29.5308,25.40523016680208
179,18.414,17.46762078647895
207,16.2648,15.965278496889372
59,22.3632,19.860611346692274
266,18.403200000000002,17.56854998139091
87,4.6224,7.333299317136323
80,13.122,13.30157404496901
135,16.776,16.216669502696362
58,23.3244,20.544839082581124
139,7.1136,9.341940755076923
187,17.2224,16.627382919746616
191,20.016,18.62215977820834
240,9.2772,11.03519191580768
165,16.869600000000002,16.35159419327877
72,16.272,15.537407377857566
154,15.4908,15.356339296998424
233,5.3604,8.231866157109685
152,16.5996,16.145853045795796
252,22.05,20.151853426480884
33,18.6552,17.18595711465742
30,10.1844,11.149037987814312
68,21.7872,19.461853304122855
125,17.028000000000002,16.384987456149265
222,13.9572,14.341036885513894
118,6.0516000000000005,8.55304209815484
89,1.7496,5.307961117044601
2,10.8108,11.399781937059924
250,17.9568,17.23411169366684
10,14.2848,13.883885992617618
51,23.2164,20.4629513902162
160,17.715600000000002,16.949833763731053
36,11.7576,12.277366000229422
122,13.4388,13.8236728005203
204,15.5376,15.444153423304689
25,9.5472,10.58368555063623
221,15.285600000000002,15.285638153484992
210,15.8544,15.67795717683594
13,15.296399999999998,14.609803988437571
8,17.766,16.36228783761375
23,9.7308,10.71051185395986
199,23.5872,21.172473635712308
95,14.418,14.348988151558506
120,6.5376,8.905189302649912
136,14.1588,14.352178715176672
158,17.017200000000003,16.44866645325503
81,0.6624,4.445048983922951
162,15.325199999999999,15.24798433268066
133,19.1844,17.930269347317633
194,25.5276,22.552583417857218
77,24.055200000000003,21.085659223241407
117,5.8644,8.41613760837597
132,18.748800000000003,17.617576363204986
124,15.616800000000001,15.37902007135493
172,18.741600000000002,17.692454768237567
265,19.378800000000002,18.261356672843235
241,5.0364,8.016924558793463
15,16.3404,15.356051353391873
6,15.9876,15.09296126574261
212,19.3716,18.185273749924384
100,9.18,10.622902531704504
138,8.5968,10.393692469479515
273,16.146,15.968449902610422
144,20.988,19.240562177251938
148,20.7036,19.06545280873833
193,23.1048,20.823965598454006
232,10.3644,11.794663311646671
40,10.2636,11.221424112946007
217,21.5388,19.73549542941946
183,15.9336,15.704597445012654
102,0.738,4.645619611732256
178,16.6572,16.21405540144115
123,15.048,14.973163093930337
146,22.784399999999998,20.52593184217293
52,17.8272,16.624391122789326
21,2.3652,5.431090779440125
67,21.1464,19.00293366261647
229,11.7828,12.799970780804305
31,13.003200000000001,13.157801299395583
32,17.892,16.64077380489244
227,11.4624,12.569062982458428
223,13.5576,14.056976723277044
